Time_PnL	PnL
09:00:00.553	0.0
09:00:00.795	-0.5
09:00:01.092	0.0
09:00:21.828	-0.5
09:00:21.828	-1.0
09:00:21.828	-0.5
09:00:21.828	-1.0
09:00:53.380	-0.5
09:00:53.380	0.0
09:00:53.380	-0.5
09:00:53.380	-1.0
09:00:53.380	-0.5
09:00:54.134	0.0
09:00:55.507	-1.0
09:01:33.067	-0.5
09:01:33.067	0.0
09:01:56.816	-0.5
09:02:07.633	0.0
09:02:07.633	-0.5
09:02:07.633	0.0
09:02:07.633	-0.5
09:02:07.633	-1.5
09:03:44.415	-0.5
09:03:55.772	-1.5
09:04:05.460	-1.0
09:04:05.460	-0.5
09:04:05.460	-1.0
09:04:07.050	-2.0
09:04:09.127	-1.0
09:04:12.204	-2.0
09:04:13.123	-1.0
09:05:13.160	-2.5
09:05:18.675	-1.0
09:05:24.802	-2.5
09:06:01.963	-3.0
09:06:14.722	-1.5
09:06:14.722	-3.0
09:06:27.752	-2.5
09:06:27.752	-2.0
09:06:28.465	-3.0
09:06:28.465	-3.5
09:06:33.560	-3.0
09:06:33.582	-2.0
09:06:37.633	-3.5
09:06:39.826	-3.0
09:06:39.826	-2.5
09:06:39.826	-3.0
09:06:39.826	-2.5
09:06:39.826	-3.0
09:06:50.433	-2.5
09:06:50.433	-3.0
09:06:53.652	-2.5
09:06:53.677	-3.0
09:06:53.677	-2.5
09:07:31.031	-3.5
09:07:31.712	-2.5
09:07:31.712	-3.0
09:07:32.059	-4.5
09:07:32.134	-3.0
09:07:32.134	-4.5
09:07:32.134	-3.0
09:07:41.909	-5.0
09:08:07.214	-6.5
09:08:07.214	-7.0
09:09:05.246	-9.0
09:09:05.246	-9.5
09:09:13.857	-7.5
09:09:13.857	-9.5
09:11:04.558	-7.5
09:12:27.427	-5.5
09:12:27.451	-8.0
09:12:27.451	-5.5
09:12:49.906	-8.5
09:12:57.182	-8.0
09:12:57.182	-5.5
09:12:57.182	-6.0
09:16:14.125	-9.0
09:16:14.131	-6.0
09:16:14.131	-6.5
09:16:14.146	-10.0
09:16:14.155	-7.0
09:16:14.155	-7.5
