Time_PnL	PnL
09:00:00.553	0.0
09:00:00.553	-1.0
09:00:01.116	-2.0
09:00:01.143	-1.0
09:00:01.218	-2.0
09:00:12.735	-4.0
09:03:13.607	0.0
09:03:13.607	-2.0
09:03:13.607	0.0
09:03:13.608	-3.0
09:03:22.131	-6.0
09:03:22.131	-7.0
09:03:22.131	-6.0
09:04:24.133	-3.0
09:04:45.024	-2.0
09:05:17.025	-5.0
09:05:17.025	-6.0
09:05:34.874	-5.0
09:06:36.872	-9.0
09:06:37.260	-8.89
09:06:40.839	-11.78
09:07:19.620	-10.78
09:07:45.539	-13.67
09:07:48.022	-14.56
09:07:48.047	-15.45
09:07:48.047	-14.56
09:07:48.049	-13.67
09:07:48.049	-14.67
09:07:48.050	-16.56
09:07:48.071	-15.67
09:07:48.074	-16.56
09:09:30.260	-18.45
09:09:30.320	-16.56
09:09:46.377	-15.56
09:09:46.385	-14.67
09:09:46.407	-15.56
09:11:49.972	-15.78
09:12:15.444	-15.56
09:12:15.448	-16.25
09:12:15.448	-15.56
09:12:27.412	-17.25
09:12:54.722	-16.25
09:13:03.467	-17.94
09:13:03.467	-18.94
09:13:07.444	-21.63
09:13:07.653	-18.94
09:13:09.467	-22.63
09:13:13.445	-26.32
09:14:41.337	-30.01
09:14:41.354	-26.32
09:14:41.354	-29.87
09:14:41.355	-27.32
09:14:41.362	-29.87
09:14:45.334	-27.32
09:15:36.471	-29.87
09:15:36.565	-27.32
09:15:59.567	-29.87
09:15:59.604	-27.32
09:16:23.399	-28.32
09:16:23.400	-29.32
09:16:23.613	-28.77
09:16:23.613	-29.22
09:16:27.662	-29.67
09:16:39.961	-29.22
09:16:40.167	-30.67
09:16:40.188	-29.67
09:16:40.189	-29.22
09:16:40.189	-29.67
09:16:40.189	-31.67
09:16:40.405	-33.12
09:16:44.435	-35.57
09:16:44.435	-33.12
09:16:44.435	-30.67
09:17:35.804	-34.12
09:17:35.804	-30.67
09:17:35.944	-35.12
09:17:35.944	-36.12
09:17:35.944	-37.12
09:17:56.353	-43.57
09:18:16.869	-38.12
09:18:16.869	-38.37
09:18:16.869	-39.12
09:18:16.890	-45.57
09:18:16.971	-45.54
09:18:18.915	-44.57
09:18:18.925	-39.12
