Time_PnL	PnL
09:00:00.534	0.0
09:00:00.534	-0.5
09:01:26.532	-1.0
09:01:26.533	-0.5
09:01:58.963	-1.0
09:01:58.963	-0.5
09:02:28.061	-1.5
09:03:04.807	-2.5
09:03:04.807	-1.5
09:03:08.494	-3.0
09:03:33.272	-1.5
09:03:33.272	-2.0
09:05:09.758	-4.0
09:05:20.793	-2.0
09:06:16.428	-4.0
09:06:17.773	-2.0
09:06:17.773	-2.5
09:06:23.171	-5.0
09:06:24.093	-2.5
09:06:24.093	-3.0
09:07:27.620	-6.0
09:07:37.004	-3.0
09:07:37.004	-3.5
09:07:39.049	-7.0
09:08:04.738	-6.5
09:08:35.482	-10.0
09:08:35.526	-13.5
09:08:38.933	-13.21
09:08:38.933	-13.0
09:10:17.654	-16.5
09:10:52.166	-13.5
09:10:52.166	-16.5
09:10:52.166	-13.5
09:11:00.016	-16.5
09:11:22.069	-14.0
09:11:22.081	-16.5
09:11:22.081	-14.0
09:11:55.417	-17.0
09:11:55.417	-14.0
09:11:55.417	-17.0
09:11:55.417	-17.5
09:11:55.917	-20.5
09:11:55.919	-20.0
09:11:55.919	-17.5
09:11:55.923	-20.0
09:11:55.923	-17.5
09:11:55.927	-20.0
09:12:00.394	-19.5
09:14:19.147	-18.0
09:14:19.147	-18.5
09:14:19.149	-20.5
09:14:19.149	-18.5
09:14:19.149	-19.0
09:14:19.155	-21.5
09:14:19.169	-19.0
09:14:19.435	-22.0
09:15:02.371	-21.5
09:15:29.305	-19.0
09:15:29.308	-21.5
09:15:29.330	-19.0
09:15:29.330	-19.5
09:16:29.284	-19.0
09:16:29.284	-16.5
09:17:02.305	-14.5
09:17:35.735	-16.5
09:18:12.062	-16.0
09:18:12.062	-14.5
09:18:12.062	-15.0
09:18:43.690	-17.0
09:19:28.135	-15.5
09:19:28.135	-16.0
09:19:32.074	-18.0
09:19:35.015	-18.5
09:19:38.826	-16.5
09:19:38.826	-17.0
09:21:29.171	-15.0
09:21:29.171	-17.0
09:21:29.171	-15.0
09:21:35.517	-16.5
09:23:41.834	-18.5
09:23:42.931	-20.5
09:23:42.980	-19.5
09:23:42.980	-20.0
09:24:49.138	-21.5
09:24:54.805	-21.0
09:24:54.805	-20.5
09:27:26.121	-21.0
09:27:26.124	-21.5
09:27:26.187	-22.0
09:27:32.267	-21.5
09:27:38.002	-22.0
09:27:47.015	-21.5
09:27:47.016	-22.0
09:27:47.018	-21.5
09:27:47.018	-22.0
09:28:40.254	-22.5
09:28:40.254	-22.0
09:28:40.254	-22.5
09:28:40.254	-23.5
09:28:40.302	-22.5
09:28:40.302	-23.0
09:28:40.302	-24.5
09:32:00.607	-26.0
09:32:00.630	-24.5
09:32:00.651	-26.0
09:32:00.651	-24.5
09:32:53.851	-22.5
09:32:53.970	-20.5
09:32:53.970	-21.0
09:32:54.068	-23.5
09:32:55.244	-21.0
09:32:55.244	-21.5
09:32:55.245	-24.5
09:32:55.246	-21.5
09:32:55.246	-22.0
09:32:55.249	-25.5
09:33:19.436	-26.0
09:33:36.539	-25.5
09:34:36.606	-22.5
09:34:36.682	-26.0
09:34:36.682	-22.5
09:34:36.744	-26.0
09:34:53.649	-22.5
09:34:53.649	-23.0
09:36:11.598	-22.5
09:40:43.307	-26.5
